"","region","time_period","strategy_code","difference_variable","difference_value","variable","value"
"88","ecuador",22,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"89","ecuador",23,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"90","ecuador",24,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"91","ecuador",25,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"92","ecuador",26,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"93","ecuador",27,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"94","ecuador",28,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"95","ecuador",29,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"96","ecuador",3,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"97","ecuador",30,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"98","ecuador",31,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"99","ecuador",32,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"100","ecuador",33,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
